rank,feature,coefficient,abs_importance
143,categorical__order_country_Australia,0.3695307943069173,0.3695307943069173
144,categorical__order_city_Choloma,-0.366615828546832,0.366615828546832
145,categorical__order_city_Edinburgh,-0.3662528468766411,0.3662528468766411
146,categorical__product_id_804,-0.3645302366392429,0.3645302366392429
147,categorical__order_city_Ciego de Ávila,-0.36412884858714856,0.36412884858714856
148,categorical__category_name_Trade-In,0.36392995683696167,0.36392995683696167
149,categorical__order_city_Alexandria,-0.3607892717517917,0.3607892717517917
150,categorical__order_city_San Miguelito,-0.35976682381712966,0.35976682381712966
151,categorical__order_country_Sudán,-0.35762068339570396,0.35762068339570396
152,categorical__order_city_Huehuetenango,-0.356785657437469,0.356785657437469
153,categorical__order_country_Indonesia,-0.3566402493057633,0.3566402493057633
154,categorical__order_city_Morelia,-0.355119464923714,0.355119464923714
155,categorical__product_id_703,0.3535066217869579,0.3535066217869579
156,categorical__product_id_924,-0.3462845988457112,0.3462845988457112
157,categorical__product_id_818,-0.3441566938862749,0.3441566938862749
158,categorical__order_city_Villa Nueva,-0.3440795076165959,0.3440795076165959
159,categorical__category_name_Kids' Golf Clubs,0.34295625046653183,0.34295625046653183
160,categorical__product_id_172,-0.34140209315925774,0.34140209315925774
161,categorical__order_city_Houston,0.34053450452412404,0.34053450452412404
162,categorical__order_city_Córdoba,-0.34028616312634485,0.34028616312634485
163,categorical__order_city_Perth,0.33358586003173146,0.33358586003173146
164,categorical__order_country_Suecia,-0.33219351234286576,0.33219351234286576
165,categorical__order_city_New York City,0.3272823939693053,0.3272823939693053
166,categorical__product_id_905,-0.32680754331931566,0.32680754331931566
167,categorical__order_city_Manila,-0.3266789614941595,0.3266789614941595
168,categorical__order_city_Pinar del Río,-0.32257107016589975,0.32257107016589975
169,categorical__order_country_Malasia,-0.32116603038793756,0.32116603038793756
170,categorical__product_id_249,-0.3194185696142585,0.3194185696142585
171,categorical__order_city_Detroit,0.31941549754989823,0.31941549754989823
172,categorical__product_id_778,0.3184928624649977,0.3184928624649977
173,categorical__order_city_Canberra,0.3178930966823917,0.3178930966823917
174,categorical__category_name_infrequent_sklearn,0.31073146367292853,0.31073146367292853
175,categorical__order_city_Gold Coast,0.3096514751919084,0.3096514751919084
176,categorical__order_city_Chittagong,0.309408320544544,0.309408320544544
177,categorical__product_id_823,0.3091178330632672,0.3091178330632672
178,categorical__order_city_Trier,0.3087096035509073,0.3087096035509073
179,categorical__order_city_Fairfield,0.3085707654091622,0.3085707654091622
180,categorical__order_city_Bochum,0.30847079022071994,0.30847079022071994
